KEYWORD,CONTEXT,en,da,da notes,de,de notes,es,es notes,fa,fa notes,fr,fr notes,he,he notes,hu,hu notes,it,it notes,nl,nl notes,rk,redneck notes,ru,ru notes,vi,vi notes,zh-CHT,zh-CHT notes
APPLICATION_TITLE,Shows in the title bar of the app window.,Scout-App: The Sass GUI,Scout-App: Sass GUI'et,,,,Scout-App: La interfaz gráfica de usuario Sass,,پیشآهنگی برنامه: رابط کاربری گرافیکی بی احترامی صحبت کردن,Google Translated,Scout-App: L'interface graphique Sass,,,,Scout-App: Sass Grafikus interfész,,Scout-App: L'interfaccia grafica per Sass,,Scout-App: De Sass grafische gebruikers interface,,Scout-App: The Sass GUI that'll butter your biscuits!,,Cкаут-Aпп: GUI для Sass,,Scout-App: Ứng dụng biên dịch Sass,,Scout-App: The Sass GUI,
BROWSE,This is displayed when the user hovers over an element that can browse their computer for a file or folder.,Browse,Gennemse,,Durchsuchen,,Visualizar,,کاوش و انتخاب,,Feuilleter,,,,Tallózás,,Naviga,,Browse,,Look Around,,просматривать,,Duyệt,,查看檔案/資料夾,
CANCEL,When the user is removing a project they can choose 'Remove' or 'Cancel' as an action.,Cancel,Annuller,,Abbrechen,,Cancelar,,لغو,,Annuler,,,,Mégse,,Annulla,,Annuleer,,Nevermind,,Отмен,,Bỏ qua,,取消,
CAT_SCREAMING_NO,"When the user is removing a project, an image of a cat is displayed. The cat looks like it is trying to stop something bad from happening at the last moment. This is the alternative text for the image, for those who are visually imparied.",Cat screaming 'NO!',Katten skriger 'NEEEJ!',,Katze schreit 'NO!',,Grito al gato ¡NO!,,حذف پروژه,,Chat hurlant 'NON!',,,,Miaúúú 'NEEE!',,Il gatto dice di NO!,,Kat schreeuwt 'NEEEEE!',,Hold your horses!,,"Кот, который кричит 'НЕТ'",,Mèo hét lên 'KHÔNG!',,貓大叫 `不!',
CHECK_FOR_UPDATES,A button in the about menu to check for newer versions of Scout-App,Check for updates,Tjek for opdateringer,,Auf Updates prüfen,,Comprobar si hay actualizaciones,,بررسی آپدیت جدید,,Vérifier les mises à jour,,,,Frissítések keresése,,Controlla aggiornamenti,,Check voor updates,,Anything new?,,провер для обновления,,Kiểm tra cập nhật,,檢查更新,
CONFIRM_DELETE,When the user is removing a project we ask them to confirm with this. Then the user selects 'Remove' or 'Cancel'.,Are you sure?,Er du sikker?,,,,¿Está seguro?,,ایا مطمئن هستی میخوای پروژه رو حذف کنی ؟!,,Êtes-vous sûr?,,,,Biztosan eltávolítja?,,Sei sicuro?,,Ben je zeker?,,You sure boy?,,"Вы уверены, что хотите удалить этот проект",,Bạn chắc chứ?,,你確定嗎?,
DELETE,When the user is removing a project they can choose 'Remove' or 'Cancel' as an action.,Remove,Fjern,,,,Borrar,,حذف,,Retirer,,,,Eltávolítás,,Rimuovi,,Verwijder,,Shoot It,,Удалить,,Xóa,,移除,
DELETE_PROJECT,"In the project settings view, there is a button that allows you to remove the project from Scout-App.",Remove Project,Fjern projekt,,,,Borrar Proyecto,,حذف پروژه,,Retirer le Project,,,,Projekt eltávolítása,,Rimuovi progetto,,Verwijder Project,,Shoot It Dead,,Удалить проект,,Xóa dự án,,移除專案,
DEV_TOOLS,In the View menu of the nav bar the user can click on 'Dev Tools' to launch Developer tools to debug Scout-App itself.,Dev Tools,Udvikler værktøjer,,,,Herramientas de Desarrollo,,ابزار توسعه,,Outils de Développement,,,,Fejlesztői eszközök,,Strumenti di sviluppo,,Ontwikkelaarstools,,TOOLS!,,Инструменты разработки,,Công cụ phát triển,,開發工具,
DEVELOPMENT,"In the project settings view, under the Enivornment section the user can select either 'Development' or 'Production'. Which effects how their CSS will be outputted. Either with Sass mapping and line comments or without.",Development,Udvikling,,,,Desarrollo,,کد نویسی,,Développement,,,,Fejlesztői,,Sviluppo,,Ontwikkeling,,We're Live!,,разработка,,Phát triển,,開發中,
ENVIRONMENT,In the project settings view. This is a section heading that controls the way/format the user's CSS will be outputted. The pick bewteen a production or development environemnt. It is a choice of intent for the purpose of the processed CSS.,Environment,Miljø,,,,Entorno,,محیط,Google Translated,Environnement,,,,Környezet,,Tipo di ambiente,,Milieu,,Trailer Park,,окружение,,Môi trường,,專案環境,
EXIT,In the File menu of the Nav Bar. This is a menu item that will close Scout-App if clicked.,Exit,Luk,,,,Salir,,خروج,,Quitter,,,,Kilépés,,Esci,,Stop,,Goodbye,,Выход,,Thoát,,關閉,
FILE,"This is a menu item in the nav bar, it contains a submenu of 'New Project', 'Preferences', and 'Exit'",File,Filer,,,,Fichero,,فایل,,Fichier,,,,Fájl,,File,,Archief,,File,,файл,,Tệp,,檔案,
FOUND_SOME_PROJECTS,"When you first start Scout-App or have 0 projects imported, we scan your drive for projects. If any are found it is shown on screen.",found {{0}} projects,placeret {{0}} projekter,Google Translated,{{0}} Projekte gefunden,,encontrados {{0}} proyectos,,,,a trouvé {{0}} projets,,,,{{0}} projekt található,,trovati {{0}} progetti,Google Translated,gelegen {{0}} projecten,Google Translated,Seen't {{0}} projects,,найдено {{0}} проектов,,phát hiện {{0}} dự án,,找到 {{0}} 個專案,
FTUX_DRAG_DROP,"When you first start Scout-App or have 0 projects imported, we display large instructions to drag and drop on the screen.",<h3>Drag and Drop</h3> <h4>anywhere to import projects</h4>,<h3>Træk og slip</ h3> <h4>overalt at importere projekter</h4>,Google Translated,,,<h3>Arrastrar y soltar</h3> <h4>en cualquier lugar para importar proyectos</h4>,,,,<h3>Glisser-déposer</h3> <h4>n'importe où pour importer des projets</h4>,,,,<h3>Fogd és vidd</h3> <h4>bárhonnan importálhatók projektek</h4>,,<h3>Trascinare e Rilasciare</ h3> <h4>ovunque per importare progetti</h4>,Google Translated,<h3>Slepen en neerzetten</h3> <h4>overal aan projecten importeren</h4>,Google Translated,<h3>Toss it here</h3> <h4>any ol' project</h4>,,<h3>Перетаскaeти</h3> <h4>в любом месте итмпортировать проекты</ h4>,Google Translated,<h3>Kéo và Thả</h3> <h4>để thêm dự án từ bất kỳ đâu</h4>,,<h3>拖放</h3> <h4>到任何位置來匯入專案</h4>,
IMPORT_ADD_GROUP,"In the File menu, if you click ""Multi-Project Import"", a modal appears. This is a button is at the bottom of the import table.",Add Group of projects,Tilføj Gruppe af projekter,Google Translated,,,Añadir un grupo de proyectos,,,,Ajouter un Groupe de projets,Google Translated,,,Projektcsoport hozzáadása,,Aggiungere gruppo di progetti,Google Translated,Add Group or projects,Google Translated,Bucket o' projects,,Добавить группу проектов,,Thêm nhóm các dự án,,加入多個專案,
IMPORT_ADD_PROJECT,"In the File menu, if you click ""Multi-Project Import"", a modal appears. This is a button is at the bottom of the import table.",Add another project,Tilføj et andet projekt,Google Translated,,,Añadir otro proyecto,,,,Ajouter un autre projet,Google Translated,,,Újabb projekt hozzáadása,,Aggiungere un altro progetto,Google Translated,Add another project,Google Translated,One more will do,,Добавить еще один проект,,Thêm dự án khác,,加入其他專案,
IMPORT_DRAG_DROP,"In the File menu, if you click ""Multi-Project Import"", a modal appears. This is a button is at the bottom of the import table.",Drag & Drop,Træk og slip,Google Translated,,,Arrastrar y Soltar,,,,Glisser déposer,Google Translated,,,Fogd és vidd,,Trascinare e Rilasciare,Google Translated,"Slepen, laten vallen",Google Translated,Toss it on the pile,,Перетаскивание,Google Translated,Kéo & Thả,,拖放,
IMPORT_HEADER,"In the File menu, if you click ""Multi-Project Import"", a modal appears. In the header of it this is displayed.",{{0}} Selected Projects,{{0}} Udvalgte Projekter,Google Translated,,,{{0}} Proyectos seleccionados,,,,{{0}} Projets Sélectionnés,Google Translated,,,{{0}} kiválasztott projekt,,{{0}} progetti selezionati,Google Translated,{{0}} Geselecteerde Projecten,Google Translated,Pickin' bout {{0}} projects,,{{0}} Отдельные проекты,Google Translated,{{0}} dự án được chọn,,{{0}} 個選取專案,
IMPORT_INPUT,"In the File menu, if you click ""Multi-Project Import"", a modal appears. In the table header this is displayed.",Input (Sass),Input (Sass),Google Translated,,,Entrada (Sass),,,,Entrée (Sass),Google Translated,,,Bemenet (Sass),,Ingresso (Sass),Google Translated,Invoer (Sass),Google Translated,Input (Sass),,Вход (Sass),,Đầu vào (Sass),,輸入 (Sass),
IMPORT_OUTPUT,"In the File menu, if you click ""Multi-Project Import"", a modal appears. In the table header this is displayed.",Output (CSS),Output (CSS),Google Translated,,,Salida (CSS),,,,Sortie (CSS),Google Translated,,,Kimenet (CSS),,Uscita (CSS),Google Translated,Uitgang (CSS),Google Translated,Output (CSS),,Вывод (CSS),,Đầu ra (CSS),,輸出 (CSS),
IMPORT_PROJECT_NAME,"In the File menu, if you click ""Multi-Project Import"", a modal appears. In the table header this is displayed.",Project Name,Projekt Navn,Google Translated,,,Nombre del proyecto,,,,Nom du Projet,Google Translated,,,Projekt neve,,Nome del Progetto,Google Translated,Naam van het project,Google Translated,Project Name,,название проекта,,Tên dự án,,專案名稱,
IMPORT_PROJECTS,"When the user has no projects, we display a list of suggested projects to import. This is the title for the section that contains the suggested projects.",Import Projects,Indlæs projekter,,Projekt importieren,,Importar Proyectos,,پروژه های واردات,Google Translated,Importer des Projets,,,,Projekt importálása,,Importa progetti,,Importeer Projecten,,Bring Your Own Projects,,импортировать проекты,,Nhập khẩu dự án,,匯入專案,
INPUT_FOLDER,"In the project settings view, this is the label for the input field where the user sets their project's Sass folder",Input Folder:,Input mappe:,,,,Carpeta de Entrada:,,پوشه ورودی:,Google Translated,Dossier d'entrée:,,,,Bemeneti mappa:,,Cartella di origine:,,Invoermap,,Input Folder:,,папка ввода,,Đầu vào (Sass):,,輸入資料夾:,
LANG_DA,"In the preferences modal, options for language choices.",Danish (Dansk),Dansk,,Dänisch (Dansk),Google Translated,Danés (Dansk),, دانمارکی (Dansk),Google Translated,Danois (Dansk),,,,Dán (Dansk),,Danese (Dansk),,Deens (Dansk),,Danish (Dansk) - good desserts,,Датский (Dansk),,Tiếng Đan Mạch (Dansk),,丹麥語 (Dansk),
LANG_DE,"In the preferences modal, options for language choices.",German (Deutsch),Tysk (Deutsch),Google Translated,Deutsch,Google Translated,Alemán (Deutsch),,آلمانی (Deutsch),Google Translated,Allemand (Deutsch),,,,Német (Deutsch),,Tedesco (Deutsch),Google Translated,Duits (Deutsch),Google Translated,German (Deutsch) - Hamburger Land!,,Немецкий (Deutsch),,Tiếng Đức (Deutsch),,德語 (Deutsch),
LANG_EN,"In the preferences modal, options for language choices.",English,Engelsk (English),,Englisch (English),Google Translated,Inglés (English),, انگلیسی (English),Google Translated,Anglais (English),,,,Angol (English),,Inglese (English),,Engels (English),,English,,Aнглийский (English),,Tiếng Anh (English),,英文 (English),
LANG_ES,"In the preferences modal, options for language choices.",Spanish (Español),Spansk (Español),Google Translated,Spanisch (Español),Google Translated,Español,,اسپانیایی (Español),Google Translated,Espagnol (Español),,,,Spanyol (Español),,Spagnolo (Español),Google Translated,Spaans (Español),Google Translated,Spanish (Español) - Drywall buddies,,Испанский (Español),,Tiếng Tây Ban Nha (Español),,西班牙語 (Español),
LANG_FA,"In the preferences modal, options for language choices.",(فارسی) Persian,(فارسی) Persisk,Google Translated,(فارسی) Persisch,Google Translated,(فارسی) Persa,,فارسی,Google Translated,(فارسی) Persan,,,,(فارسی) Fárszi,,(فارسی) Persiano,Google Translated,(فارسی) Perzisch,Google Translated,Persian (فارسی) - My ex's cat was Persian,, (فارسی) Персидский,,(فارسی) Tiếng Ba Tư ,,(فارسی) 波斯語,
LANG_FR,"In the preferences modal, options for language choices.",French (Français),Fransk (Français),,Französisch (Français),Google Translated,Francés (Français),,فرانسوی (Français),Google Translated,Français,,,,Francia (Français),,Francese (Français),,Frans (Français),,French (Français) - pansies,,Французский (Français),,Tiếng Pháp (Français),,法語 (Français),
LANG_HE,"In the preferences modal, options for language choices.",(עִברִית) Hebrew,(עִברִית) Hebrew,Google Translated,(עִברִית) Hebräisch,Google Translated,(עִברִית) Hebreo,Google Translated,فارسی (עִברִית),Google Translated,(עִברִית) Hébreu,Google Translated,עִברִית,Google Translated,(עִברִית) Héber,Google Translated,(עִברִית) Ebraico,Google Translated,(עִברִית) Hebreeuws,Google Translated,Hebrew (עִברִית) - funny little hats,,(עִברִית) Иврит,Google Translated,(עִברִית) Hebrew,Google Translated,(עִברִית) 希伯來語,Google Translated
LANG_HU,"In the preferences modal, options for language choices.",Hungarian (Magyar),Ungarsk (Magyar),Google Translated,Ungarisch (Magyar),Google Translated,Húngaro (Magyar),,مجارستانی (Magyar),Google Translated,Hongrois (Magyar),,,,Magyar,,Ungherese (Magyar),Google Translated,Hongaars (Magyar),Google Translated,Hungarian (Magyar) - Hungry,,Венгерский (Magyar),,Tiếng Hungary (Magyar),,匈牙利語 (Magyar),
LANG_IT,"In the preferences modal, options for language choices.",Italian (Italiano),Italiensk (Italiano),Google Translated,Italienisch (Italiano),Google Translated,Italiano (Italiano),,ایتالیایی (Italiano),Google Translated,Italien (Italiano),,,,Olasz (Italiano),,Italiano,,Italiaans (Italiano),,Italian (Italiano) - Pizza Land!,,Итальянский (Italiano),,Tiếng Ý (Italiano),,義大利語 (Italiano),
LANG_NL,"In the preferences modal, options for language choices.",Dutch (Nederlands),Hollandsk (Nederlands),,Niederländer (Nederlands),Google Translated,Holandés (Nederlands),,هلندی (Nederlands),Google Translated,Néerlandaise (Nederlands),,,,Holland (Nederlands),,Olandese (Nederlands),,Nederlands,,Dutch (Nederlands) - what?,,Голландский (Nederlands),,Tiếng Hà Lan (Nederlands),,荷蘭語 (Nederlands),
LANG_RK,"In the preferences modal, options for language choices.",Redneck (Real America),Amerikansk Bondeknold (Redneck),Google Translated,Amerikanisches Yokel (Real America),Google Translated,Campesino Sureño (Real America),,دهاتی آمریکا (Real America),Google Translated,Rustre Américain (Redneck),,,,Paraszt Amcsi (Redneck),,Americano Campagnolo (Redneck),Google Translated,Amerikaanse Boerenpummel (Redneck),,Real America,,деревенский Американский (Redneck),,Tiếng Mỹ đời thường (Redneck),,美國粗話 (Redneck),
LANG_RU,"In the preferences modal, options for language choices.",Russian (русский),Russisk (русский),,Russisch (русский),Google Translated,Ruso (русский),,روسی (русский),Google Translated,Russe (русский),,,,Orosz (русский),,Russo (русский),,Russisch (русский),,Russian (русский) - hot wives,,Русский,,Tiếng Nga (русский),,俄語 (русский),
LANG_VI,"In the preferences modal, options for language choices.",Vietnamese (Tiếng Việt),Vietnamesisk (Tiếng Việt),Google Translated,Vietnamesisch (Tiếng Việt),Google Translated,Vietnamita (Tiếng Việt),,(Tiếng Việt) ویتنامی,Google Translated,Vietnamien (Tiếng Việt),,,,Vietnami (Tiếng Việt),,Vietnamita (Tiếng Việt),Google Translated,Vietnamees (Tiếng Việt),Google Translated,Nam (Tiếng Việt) - Charlie,,Вьетнамский (Tiếng Việt),,Tiếng Việt,,越南語 (Tiếng Việt),
LANG_ZH-CHT,"In the preferences modal, options for language choices.",Chinese Traditional (中文),Traditionelt Kinesisk (中文),Google Translated,,,Chino Tradicional (中文),,,,Chinois Traditionnel (中文),,,,Hagyományos kínai (中文),,Tradizionale Cinese (中文),Google Translated,Traditioneel Chinees (中文),Google Translated,Chinese Traditional (中文) - the best knockoffs,,Китайский традиционный (中文),,Tiếng Trung Quốc truyền thống (中文),,繁體中文 (Traditional Chinese),
LANGUAGE_CHOICE,"In the preferences modal, this is the label for the language dropdown.",Language:,Sprog:,,,,Idioma:,,زبان:,Google Translated,Langue:,,,,Nyelv:,,Lingua:,,Taal:,,Language:,,Выбор языков,,Ngôn ngữ:,,選擇語言: ,
LATEST_VERSION,"In the About modal, after the user checks for updates, if there is no newer version available this is displayed.",You have the latest version of Scout-App.,Du har den seneste version af Scout-App,,,,Tiene la última versión de Scout-App.,,شما باید آخرین نسخه از پیشآهنگی برنامه.,Google Translated,Vous avez la dernière version de Scout-App.,,,,A Scout-App legújabb verziója.,,Stai usando l'ultima versione di Scout-App.,,Je hebt de nieuwste versie van de Scout-App,,"Relax man, you have the latest version.",,У вас есть последняя версия Cкаут-Aппa,,Bạn đang sử dụng phiên bản mới nhất.,,你的 Scout-App 已經是最新版本,
LISTING_OF_PROJECTS,This is a label for the side bar for those who are visually impaired.,Listing of projects,Lister alle projekter,,,,Listado de proyectos,,لیست پروژه های,Google Translated,Liste des projets,,,,Projektek listája,,Lista dei progetti,,Project Lijst,,A whole mess of projects,,Перечисление проектов,,Liệt kê các dự án,,專案列表,
MESSAGES_DESKTOP,"In the preferences, checkbox allowing you to set if messages or alerts pop up a desktop notification.",Desktop Notification,Skrivebordsunderretninger,Google Translated,,,Notificación de Escritorio,,هشدار از طریق دسکتاپ,Google Translated,Notification de Bureau,,,,Asztali értesítések,,Notifiche desktop.,,Bureaublad Meldingen,,Pop up thingers,,Обои для рабочего уведомления,Google Translated,Thông báo trên màn hình,,桌面通知,
MESSAGES_IN_APP,"In the preferences, checkbox allowing you to set if messages or alerts are displayed inside of Scout-App.",In App,I App,Google Translated,,,En App,,در نرم افزار,Google Translated,Dans l'application,,,,Az alkalmazásban,,Nell'App,,In App,,In App,Could be better,В приложении,"here, prilozheniya the second word, could, informally be replaced with the russified word Application, apliikatsaya, but it's mostly a question of style and ~correctness vs vernacular~ so since you use priilozheniya here we will continue to use it",Trong ứng dụng,,程式內通知,
MESSAGES_SOUND,"In the preferences, checkbox allowing you to set if messages or alerts play a sound when they occur.",Play Sound,Afspil lyd,Google Translated,,,Reproducir Sonido,,پخش صدا,Google Translated,Jouer un son,,,,Hangjelzés,,Notifica con suono,,Geluid afspelen,,Air horn,,воспроизведение аудио,Google Translated,Phát âm thanh,,撥放音效,
